Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Sky Cond,Wind Speed(mph),Wind Dir,Air Temp(°F),Humidity(%),Soil Tex,Soil Cond,Soil Moist,Crop Resid,Nozzle PN,Pass Num,Speed(mph),Prod(ac/h),Crop Flw(V)(bu/h),Date
-86.17220115,40.96844731,CHURCH17,15/10/09-17:40:57,SOYBEANS,1,2.677,169.90,1.000,808.66,10/9/2015,On,23.52,Yes,4.768,13.00,3297.8,54.96,3297.8,54.96,In,3.235,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,1.825,5.205,286.07,10/9/2015
-86.17219833,40.96843768,CHURCH17,15/10/09-17:40:57,SOYBEANS,2,3.212,167.50,1.000,808.71,10/9/2015,On,30.00,Yes,5.390,13.00,2436.6,40.61,2436.6,40.61,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.190,7.963,323.40,10/9/2015
-86.17219481,40.96842810,CHURCH17,15/10/09-17:40:57,SOYBEANS,3,3.524,164.50,1.000,808.81,10/9/2015,On,30.00,Yes,9.154,13.00,3772.3,62.87,3772.3,62.87,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.402,8.736,549.26,10/9/2015
-86.17219189,40.96841775,CHURCH17,15/10/09-17:40:57,SOYBEANS,4,3.527,168.00,1.000,808.81,10/9/2015,On,30.00,Yes,9.018,13.00,3712.7,61.88,3712.7,61.88,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.405,8.744,541.09,10/9/2015
-86.17218907,40.96840788,CHURCH17,15/10/09-17:40:57,SOYBEANS,5,3.573,167.80,1.000,808.95,10/9/2015,On,30.00,Yes,10.68,13.00,4339.9,72.33,4339.9,72.33,In,0.00,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.436,8.858,640.74,10/9/2015
-86.17218575,40.96839790,CHURCH17,15/10/09-17:40:57,SOYBEANS,6,3.530,165.90,1.000,808.93,10/9/2015,On,30.00,Yes,12.08,13.00,4968.2,82.80,4968.2,82.80,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.407,8.752,724.74,10/9/2015
-86.17218272,40.96838747,CHURCH17,15/10/09-17:40:57,SOYBEANS,7,3.556,167.60,1.000,809.07,10/9/2015,On,30.00,Yes,12.78,13.00,5217.3,86.96,5217.3,86.96,In,0.00045,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.425,8.818,766.74,10/9/2015
-86.17217958,40.96837719,CHURCH17,15/10/09-17:40:57,SOYBEANS,8,3.543,167.00,1.000,809.17,10/9/2015,On,30.00,Yes,13.12,13.00,5378.2,89.64,5378.2,89.64,In,0.00045,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.416,8.785,787.45,10/9/2015
-86.17217629,40.96836693,CHURCH17,15/10/09-17:40:57,SOYBEANS,9,3.566,166.40,1.000,809.21,10/9/2015,On,30.00,Yes,11.72,13.00,4771.5,79.52,4771.5,79.52,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.432,8.842,703.15,10/9/2015
-86.17217276,40.96835701,CHURCH17,15/10/09-17:40:57,SOYBEANS,10,3.517,165.00,1.000,809.19,10/9/2015,On,30.00,Yes,10.49,13.00,4331.5,72.19,4331.5,72.19,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.398,8.720,629.50,10/9/2015
-86.17216891,40.96834618,CHURCH17,15/10/09-17:40:57,SOYBEANS,11,3.750,165.00,1.000,809.16,10/9/2015,On,30.00,Yes,10.47,13.00,4052.9,67.55,4052.9,67.55,In,0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.557,9.297,628.04,10/9/2015
-86.17216519,40.96833540,CHURCH17,15/10/09-17:40:57,SOYBEANS,12,3.825,165.40,1.000,809.31,10/9/2015,On,30.00,Yes,9.450,13.00,3586.8,59.78,3586.8,59.78,In,0.00045,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.608,9.485,566.98,10/9/2015
-86.17216179,40.96832420,CHURCH17,15/10/09-17:40:57,SOYBEANS,13,3.852,167.10,1.000,809.39,10/9/2015,On,30.00,Yes,9.812,13.00,3698.9,61.65,3698.9,61.65,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.626,9.550,588.72,10/9/2015
-86.17215772,40.96831221,CHURCH17,15/10/09-17:40:57,SOYBEANS,14,4.127,165.60,1.000,809.38,10/9/2015,On,30.00,Yes,8.275,7.100,2911.3,48.52,2911.3,48.52,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.814,10.23,496.52,10/9/2015
-86.17215337,40.96829969,CHURCH17,15/10/09-17:40:57,SOYBEANS,15,4.341,165.30,1.000,809.35,10/9/2015,On,30.00,Yes,7.993,9.100,2673.9,44.57,2673.9,44.57,In,0.00045,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.959,10.76,479.60,10/9/2015
-86.17214843,40.96828736,CHURCH17,15/10/09-17:40:57,SOYBEANS,16,4.429,163.20,1.000,809.42,10/9/2015,On,30.00,Yes,8.361,10.90,2741.1,45.68,2741.1,45.68,In,0.00,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.020,10.98,501.67,10/9/2015
-86.17214373,40.96827530,CHURCH17,15/10/09-17:40:57,SOYBEANS,17,4.262,163.60,1.000,809.42,10/9/2015,On,30.00,Yes,6.454,13.00,2198.8,36.65,2198.8,36.65,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.906,10.57,387.22,10/9/2015
-86.17213838,40.96826252,CHURCH17,15/10/09-17:40:57,SOYBEANS,18,4.432,162.40,1.000,809.27,10/9/2015,On,30.00,Yes,5.633,15.80,1845.4,30.76,1786.0,29.77,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.022,10.99,338.00,10/9/2015
-86.17213339,40.96825036,CHURCH17,15/10/09-17:40:57,SOYBEANS,19,4.452,162.80,1.000,809.37,10/9/2015,On,30.00,Yes,3.949,17.30,1287.9,21.46,1224.2,20.40,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.036,11.04,236.93,10/9/2015
-86.17212802,40.96823759,CHURCH17,15/10/09-17:40:57,SOYBEANS,20,4.465,162.40,1.000,809.39,10/9/2015,On,30.00,Yes,3.679,18.20,1196.3,19.94,1124.8,18.75,In,0.00,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.044,11.07,220.73,10/9/2015
-86.17212324,40.96822520,CHURCH17,15/10/09-17:40:57,SOYBEANS,21,4.380,163.80,1.000,809.43,10/9/2015,On,30.00,Yes,3.237,18.60,1073.1,17.89,1004.0,16.73,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.986,10.86,194.22,10/9/2015
-86.17211906,40.96821254,CHURCH17,15/10/09-17:40:57,SOYBEANS,22,4.442,166.00,1.000,809.46,10/9/2015,On,30.00,Yes,3.249,18.80,1062.1,17.70,991.27,16.52,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.029,11.01,194.96,10/9/2015
-86.17211428,40.96820017,CHURCH17,15/10/09-17:40:57,SOYBEANS,23,4.429,163.70,1.000,809.56,10/9/2015,On,30.00,Yes,3.049,19.00,999.51,16.66,930.58,15.51,In,0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.020,10.98,182.93,10/9/2015
-86.17210916,40.96818799,CHURCH17,15/10/09-17:40:57,SOYBEANS,24,4.416,162.40,1.000,809.60,10/9/2015,On,30.00,Yes,2.794,19.20,918.61,15.31,853.15,14.22,In,0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.011,10.95,167.63,10/9/2015
-86.17210334,40.96817552,CHURCH17,15/10/09-17:40:57,SOYBEANS,25,4.370,160.60,1.000,809.62,10/9/2015,On,30.00,Yes,3.163,19.40,1050.9,17.52,973.61,16.23,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.980,10.83,189.78,10/9/2015
-86.17209800,40.96816305,CHURCH17,15/10/09-17:40:57,SOYBEANS,26,4.406,162.10,1.000,809.63,10/9/2015,On,30.00,Yes,3.343,19.50,1101.6,18.36,1019.3,16.99,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.004,10.92,200.57,10/9/2015
-86.17209340,40.96815079,CHURCH17,15/10/09-17:40:57,SOYBEANS,27,4.416,164.20,1.000,809.74,10/9/2015,On,30.00,Yes,3.837,19.70,1261.7,21.03,1164.5,19.41,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.011,10.95,230.23,10/9/2015
-86.17208882,40.96813854,CHURCH17,15/10/09-17:40:57,SOYBEANS,28,4.380,164.20,1.000,809.73,10/9/2015,On,30.00,Yes,4.013,19.90,1330.4,22.17,1224.9,20.41,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.986,10.86,240.79,10/9/2015
-86.17208378,40.96812626,CHURCH17,15/10/09-17:40:57,SOYBEANS,29,4.380,162.80,1.000,809.71,10/9/2015,On,30.00,Yes,4.458,20.10,1478.0,24.63,1357.3,22.62,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.986,10.86,267.49,10/9/2015
-86.17207871,40.96811416,CHURCH17,15/10/09-17:40:57,SOYBEANS,30,4.432,162.50,1.000,809.63,10/9/2015,On,30.00,Yes,6.654,20.10,2179.7,36.33,2001.8,33.36,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.022,10.99,399.22,10/9/2015
-86.17207389,40.96810181,CHURCH17,15/10/09-17:40:57,SOYBEANS,31,4.344,163.60,1.000,809.61,10/9/2015,On,30.00,Yes,8.523,17.80,2848.8,47.48,2691.7,44.86,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.962,10.77,511.36,10/9/2015
-86.17206871,40.96808949,CHURCH17,15/10/09-17:40:57,SOYBEANS,32,4.370,162.40,1.000,809.65,10/9/2015,On,30.00,Yes,11.55,19.10,3838.6,63.98,3569.4,59.49,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.980,10.83,693.17,10/9/2015
-86.17206319,40.96807729,CHURCH17,15/10/09-17:40:57,SOYBEANS,33,4.429,161.10,1.000,809.71,10/9/2015,On,30.00,Yes,13.67,20.40,4480.9,74.68,4099.8,68.33,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.020,10.98,820.11,10/9/2015
-86.17205812,40.96806498,CHURCH17,15/10/09-17:40:57,SOYBEANS,34,4.367,162.70,1.000,809.76,10/9/2015,On,30.00,Yes,13.03,20.90,4332.8,72.21,3939.4,65.66,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.977,10.83,781.84,10/9/2015
-86.17205304,40.96805290,CHURCH17,15/10/09-17:40:57,SOYBEANS,35,4.377,162.40,1.000,809.82,10/9/2015,On,30.00,Yes,14.20,18.00,4711.8,78.53,4441.0,74.02,In,2.590e-009,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.984,10.85,852.14,10/9/2015
-86.17204846,40.96804090,CHURCH17,15/10/09-17:40:57,SOYBEANS,36,4.275,163.90,1.000,809.99,10/9/2015,On,30.00,Yes,13.20,18.80,4484.8,74.75,4185.8,69.76,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.915,10.60,792.23,10/9/2015
-86.17204405,40.96802861,CHURCH17,15/10/09-17:40:57,SOYBEANS,37,4.383,164.80,1.000,810.01,10/9/2015,On,30.00,Yes,13.01,19.20,4311.4,71.86,4004.1,66.74,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.989,10.87,780.89,10/9/2015
-86.17203943,40.96801613,CHURCH17,15/10/09-17:40:57,SOYBEANS,38,4.400,164.40,1.000,810.10,10/9/2015,On,30.00,Yes,13.55,17.60,4473.1,74.55,4236.6,70.61,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.000,10.91,813.21,10/9/2015
-86.17203493,40.96800393,CHURCH17,15/10/09-17:40:57,SOYBEANS,39,4.426,164.40,1.000,810.22,10/9/2015,On,30.00,Yes,14.68,15.80,4816.0,80.27,4661.0,77.68,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.018,10.97,880.77,10/9/2015
-86.17203044,40.96799194,CHURCH17,15/10/09-17:40:57,SOYBEANS,40,4.331,164.20,1.000,810.32,10/9/2015,On,30.00,Yes,15.23,16.80,5105.5,85.09,4882.5,81.37,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.953,10.74,913.65,10/9/2015
-86.17202564,40.96797976,CHURCH17,15/10/09-17:40:57,SOYBEANS,41,4.370,163.40,1.000,810.46,10/9/2015,On,30.00,Yes,14.71,16.90,4886.8,81.45,4667.7,77.80,In,0.00,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.980,10.83,882.46,10/9/2015
-86.17202111,40.96796752,CHURCH17,15/10/09-17:40:57,SOYBEANS,42,4.331,164.40,1.000,810.54,10/9/2015,On,30.00,Yes,13.44,15.60,4506.1,75.10,4371.4,72.86,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.953,10.74,806.38,10/9/2015
-86.17201607,40.96795524,CHURCH17,15/10/09-17:40:57,SOYBEANS,43,4.321,162.80,1.000,810.85,10/9/2015,On,30.00,Yes,12.60,14.10,4234.2,70.57,4180.7,69.68,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.946,10.71,756.01,10/9/2015
-86.17201127,40.96794269,CHURCH17,15/10/09-17:40:57,SOYBEANS,44,4.357,163.90,1.000,811.00,10/9/2015,On,30.00,Yes,13.59,14.40,4528.4,75.47,4455.6,74.26,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.971,10.80,815.29,10/9/2015
-86.17200621,40.96793082,CHURCH17,15/10/09-17:40:57,SOYBEANS,45,4.367,162.10,1.000,811.10,10/9/2015,On,30.00,Yes,14.47,14.40,4812.9,80.22,4735.5,78.92,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.977,10.83,868.47,10/9/2015
-86.17200143,40.96791903,CHURCH17,15/10/09-17:40:57,SOYBEANS,46,4.327,163.00,1.000,811.28,10/9/2015,On,30.00,Yes,12.88,13.50,4321.5,72.03,4296.7,71.61,In,0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.951,10.73,772.77,10/9/2015
-86.17199654,40.96790688,CHURCH17,15/10/09-17:40:57,SOYBEANS,47,4.390,163.10,1.000,811.40,10/9/2015,On,30.00,Yes,13.16,13.50,4353.6,72.56,4328.6,72.14,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.993,10.88,789.72,10/9/2015
-86.17199123,40.96789479,CHURCH17,15/10/09-17:40:57,SOYBEANS,48,4.413,161.60,1.000,811.70,10/9/2015,On,30.00,Yes,13.55,13.80,4460.0,74.33,4419.0,73.65,In,0.00045,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.009,10.94,813.25,10/9/2015
-86.17198565,40.96788260,CHURCH17,15/10/09-17:40:57,SOYBEANS,49,4.416,161.00,1.000,811.89,10/9/2015,On,30.00,Yes,14.64,13.80,4813.1,80.22,4768.9,79.48,In,0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.011,10.95,878.30,10/9/2015
-86.17198011,40.96787056,CHURCH17,15/10/09-17:40:57,SOYBEANS,50,4.426,160.80,1.000,812.14,10/9/2015,On,30.00,Yes,13.23,13.40,4341.7,72.36,4321.7,72.03,In,2.590e-009,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.018,10.97,794.03,10/9/2015
-86.17197480,40.96785853,CHURCH17,15/10/09-17:40:57,SOYBEANS,51,4.455,161.60,1.000,812.36,10/9/2015,On,30.00,Yes,13.04,13.60,4249.1,70.82,4219.8,70.33,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.038,11.05,782.29,10/9/2015
-86.17196941,40.96784665,CHURCH17,15/10/09-17:40:57,SOYBEANS,52,4.377,161.10,1.000,812.57,10/9/2015,On,30.00,Yes,13.15,13.90,4364.2,72.74,4319.1,71.98,In,0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.984,10.85,789.28,10/9/2015
-86.17196374,40.96783452,CHURCH17,15/10/09-17:40:57,SOYBEANS,53,4.426,160.60,1.000,812.78,10/9/2015,On,30.00,Yes,13.35,13.80,4380.4,73.01,4340.1,72.34,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.018,10.97,801.11,10/9/2015
-86.17195741,40.96782264,CHURCH17,15/10/09-17:40:57,SOYBEANS,54,4.308,158.10,1.000,813.08,10/9/2015,On,30.00,Yes,13.71,13.50,4622.9,77.05,4596.3,76.61,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.937,10.68,822.90,10/9/2015
-86.17194987,40.96781145,CHURCH17,15/10/09-17:40:57,SOYBEANS,55,4.413,153.00,1.000,813.43,10/9/2015,On,30.00,Yes,12.26,13.80,4035.7,67.26,3998.6,66.64,In,0.00045,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,3.009,10.94,735.88,10/9/2015
-86.17194200,40.96780076,CHURCH17,15/10/09-17:40:57,SOYBEANS,56,4.354,150.90,1.000,813.80,10/9/2015,On,30.00,Yes,11.40,14.00,3803.0,63.38,3759.3,62.65,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,1,2.968,10.79,684.17,10/9/2015
-86.17193373,40.96779174,CHURCH17,15/10/09-17:40:57,SOYBEANS,57,4.003,145.30,1.000,814.12,10/9/2015,On,30.00,Yes,9.307,14.00,3376.2,56.27,3337.4,55.62,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.729,9.924,558.42,10/9/2015
-86.17192365,40.96778353,CHURCH17,15/10/09-17:40:57,SOYBEANS,58,3.904,137.10,1.000,814.42,10/9/2015,On,30.00,Yes,9.091,13.60,3381.2,56.35,3357.9,55.96,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.662,9.680,545.48,10/9/2015
-86.17191239,40.96777568,CHURCH17,15/10/09-17:40:57,SOYBEANS,59,3.957,132.70,1.000,814.60,10/9/2015,On,30.00,Yes,10.73,14.00,3937.3,65.62,3892.0,64.87,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.698,9.810,643.74,10/9/2015
-86.17190052,40.96776870,CHURCH17,15/10/09-17:40:57,SOYBEANS,60,3.999,127.90,1.000,814.96,10/9/2015,On,30.00,Yes,9.547,14.30,3466.0,57.77,3414.2,56.90,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.727,9.916,572.79,10/9/2015
-86.17188876,40.96776200,CHURCH17,15/10/09-17:40:57,SOYBEANS,61,3.976,127.00,1.000,815.23,10/9/2015,On,30.00,Yes,6.045,14.30,2207.3,36.79,2174.3,36.24,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.711,9.859,362.68,10/9/2015
-86.17187612,40.96775624,CHURCH17,15/10/09-17:40:57,SOYBEANS,62,3.917,121.10,1.000,815.60,10/9/2015,On,30.00,Yes,3.485,14.10,1291.7,21.53,1275.4,21.26,In,-0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.671,9.712,209.09,10/9/2015
-86.17186287,40.96775167,CHURCH17,15/10/09-17:40:57,SOYBEANS,63,3.930,114.60,1.000,816.02,10/9/2015,On,30.00,Yes,2.747,14.10,1014.9,16.92,1002.1,16.70,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.680,9.745,164.84,10/9/2015
-86.17184821,40.96774816,CHURCH17,15/10/09-17:40:57,SOYBEANS,64,3.934,107.60,1.000,816.33,10/9/2015,On,30.00,Yes,1.778,14.50,656.12,10.94,644.81,10.75,In,0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.682,9.753,106.65,10/9/2015
-86.17183328,40.96774558,CHURCH17,15/10/09-17:40:57,SOYBEANS,65,3.970,102.90,1.000,816.63,10/9/2015,On,30.00,Yes,3.008,14.70,1100.3,18.34,1078.8,17.98,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.707,9.842,180.50,10/9/2015
-86.17181730,40.96774359,CHURCH17,15/10/09-17:40:57,SOYBEANS,66,4.019,99.40,1.000,816.84,10/9/2015,On,30.00,Yes,6.659,14.80,2405.8,40.10,2356.1,39.27,In,0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.740,9.964,399.55,10/9/2015
-86.17180182,40.96774180,CHURCH17,15/10/09-17:40:57,SOYBEANS,67,4.019,98.70,1.000,817.32,10/9/2015,On,30.00,Yes,7.717,15.10,2788.2,46.47,2720.9,45.35,In,0.00,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.740,9.964,463.04,10/9/2015
-86.17178618,40.96774036,CHURCH17,15/10/09-17:40:57,SOYBEANS,68,3.999,97.00,1.000,817.55,10/9/2015,On,30.00,Yes,7.992,15.20,2901.7,48.36,2828.3,47.14,In,0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,2,2.727,9.916,479.54,10/9/2015
